"","tail","head","value"
"611",40,56,3.521303e-08
"612",40,57,2.196516e-11
"613",40,58,9.099922e-08
"614",40,61,1.013838e-09
"615",40,63,1.186858e-07
"616",40,64,0.0008123235
"617",40,66,0.001627086
"618",41,36,0.0002999957
"619",41,42,0.0003697917
"620",41,64,4.731132e-05
"621",41,66,9.476474e-05
"622",42,43,0.002836137
"623",42,50,1.31653e-06
"624",42,52,5.00812e-08
"625",42,59,1.86156e-08
"626",42,64,0.01175892
"627",42,66,0.02355315
"628",43,42,0.001765602
"629",43,43,0.01406807
"630",43,45,0.0003993929
"631",43,50,6.530388e-06
"632",43,52,2.484169e-07
"633",43,63,6.339108e-06
"634",43,64,0.0815795
"635",43,66,0.1634039
"636",44,43,0.1222333
"637",44,45,0.003470213
"638",44,50,5.674068e-05
"639",44,52,2.158429e-06
"640",44,61,4.704928e-07
"641",44,63,5.507877e-05
"642",44,64,0.2384017
"643",44,66,0.4775193
"644",45,42,0.003531193
"645",45,45,1.545644e-05
"646",45,52,9.613732e-09
"647",45,55,8.195218e-06
"648",45,64,0.0008517546
"649",45,66,0.001706067
"650",46,43,0.002857785
"651",46,45,8.11327e-05
"652",46,52,5.04635e-08
"653",46,54,0.000231626
"654",46,55,4.30176e-05
"655",46,64,0.1823611
"656",46,66,0.3652699
"657",47,43,4.179703e-05
"658",47,52,7.380614e-10
"659",47,54,3.387692e-06
"660",47,55,6.291604e-07
"661",47,57,3.485592e-12
"662",47,59,2.743432e-10
"663",47,61,1.608821e-10
"664",47,64,0.003199758
"665",47,66,0.006409126
"666",48,45,5.974973e-07
"667",48,52,3.716352e-10
"668",48,54,1.705801e-06
"669",48,55,3.168012e-07
"670",48,64,0.001697796
"671",48,66,0.00340069
"672",49,55,2.492886e-07
"673",49,64,0.001568632
"674",49,66,0.003141975
"675",50,64,0.04818499
"676",50,66,0.09651498
"677",51,64,0.002085217
"678",51,66,0.004176694
"679",52,54,1.812674e-09
"680",52,64,6.752179e-07
"681",52,66,1.352461e-06
"682",53,45,2.900211e-06
"683",53,54,8.279841e-06
"684",53,55,1.53773e-06
"685",53,64,0.01050529
"686",53,66,0.02104212
"687",54,64,5.214584e-06
"688",54,66,1.044483e-05
"689",55,64,3.596053e-06
"690",55,66,7.202905e-06
"691",56,45,1.385892e-08
"692",56,49,1.237268e-08
"693",56,50,2.266037e-10
"694",56,52,3.838649e-09
"695",56,63,2.199664e-10
"696",56,64,8.304672e-06
"697",56,66,1.663432e-05
"698",57,45,4.516399e-12
"699",57,49,4.032069e-12
"700",57,50,7.384658e-14
"701",57,52,1.25096e-12
"702",57,63,7.168358e-14
"703",57,64,2.70636e-09
"704",57,66,5.420849e-09
"705",58,45,1.169343e-07
"706",58,49,1.04394e-07
"707",58,50,1.911965e-09
"708",58,52,3.238852e-08
"709",58,63,1.855963e-09
"710",58,64,5.60562e-05
"711",58,66,0.0001122812
"712",59,49,5.64178e-10
"713",59,50,1.033286e-11
"714",59,52,1.750367e-10
"715",59,63,1.003016e-11
"716",59,64,3.786811e-07
"717",59,66,7.584993e-07
"718",60,49,6.078228e-08
"719",60,50,1.113218e-09
"720",60,52,1.88578e-08
"721",60,63,1.080611e-09
"722",60,64,4.07976e-05
"723",60,66,8.171768e-05
"724",61,49,6.447645e-08
"725",61,50,1.180872e-09
"726",61,52,2.000386e-08
"727",61,63,1.146282e-09
"728",61,64,4.327709e-05
"729",61,66,8.668419e-05
"730",62,47,9.511896e-08
"731",62,49,6.019731e-09
"732",62,50,1.102503e-10
"733",62,52,1.867629e-09
"734",62,63,1.070215e-10
"735",62,64,4.040497e-06
"736",62,66,8.09313e-06
"737",63,47,1.227864e-06
"738",63,49,7.770686e-08
"739",63,50,1.42319e-09
"740",63,52,2.410867e-08
"741",63,54,2.484939e-07
"742",63,63,1.381498e-09
"743",63,64,5.215745e-05
"744",63,66,0.0001044719
"745",64,1,387.4999
"746",64,9,0.02408614
"747",64,10,0.283831
"748",64,11,0.121853
"749",64,13,0.0176122
"750",64,19,0.05222166
"751",64,21,0.06179828
"752",64,22,0.006647838
"753",64,23,0.004103967
"754",64,24,0.02704814
"755",64,35,4.836089e-05
"756",65,2,18.61676
"757",65,7,0.0103055
"758",65,8,0.09358735
"759",65,9,0.02803458
"760",65,10,0.4572957
"761",65,11,0.2115177
"762",65,12,0.0122596
"763",65,13,0.1158298
"764",65,16,0.003217709
"765",65,17,0.05065018
"766",65,18,0.00348792
"767",65,19,0.5206728
"768",65,21,0.5088312
"769",65,22,0.0955363
"770",65,23,0.03535136
"771",65,24,0.1929484
"772",65,31,0.0007228513
"773",65,35,0.0003487821
"774",65,41,2.900141e-05
"775",65,64,1300.471
"776",66,2,8.760818
"777",66,9,0.005596149
"778",66,10,0.06880692
"779",66,11,0.02172915
"780",66,13,0.007806649
"781",66,16,0.0001284579
"782",66,17,0.02023433
"783",66,18,0.0001392809
"784",66,19,0.2080774
"785",66,21,0.02032673
"786",66,22,0.003820157
"787",66,23,0.00141233
"788",66,24,0.007704998
"789",66,31,2.887869e-05
"790",66,35,1.392829e-05
"791",66,41,0.0001160059
"792",66,50,0.2054219
"793",66,64,2113.068
